    40/299     12.3G   0.05169   0.03656   0.01805    0.1063       217       640    0.3691     0.529    0.4594    0.2798   0.04603   0.02631   0.01322
    41/299     12.3G    0.0516   0.03658   0.01797    0.1061       126       640    0.3674    0.5312     0.461    0.2808   0.04597   0.02628   0.01317
    42/299     12.3G   0.05156   0.03667   0.01793    0.1062       170       640    0.3661    0.5335    0.4628    0.2821    0.0459   0.02625   0.01312
    43/299     12.3G    0.0515   0.03649   0.01787    0.1059       165       640    0.3632    0.5361     0.465    0.2835   0.04584   0.02622   0.01305
    44/299     12.3G   0.05151   0.03658   0.01787     0.106       190       640    0.3627    0.5399    0.4672    0.2849   0.04577   0.02619   0.01299
    45/299     12.3G   0.05149   0.03657   0.01784    0.1059       205       640    0.3619    0.5434    0.4689    0.2861   0.04571   0.02616   0.01294
    46/299     12.3G   0.05134   0.03654   0.01773    0.1056       192       640     0.361    0.5459    0.4704    0.2868   0.04566   0.02614    0.0129
    47/299     12.3G   0.05139   0.03652   0.01774    0.1057       145       640    0.3593    0.5485     0.472    0.2879   0.04561   0.02612   0.01287
    48/299     12.3G   0.05131   0.03649   0.01768    0.1055       185       640    0.3593    0.5504    0.4733    0.2893   0.04557    0.0261   0.01283
    49/299     12.3G   0.05123   0.03645   0.01765    0.1053       168       640    0.3581    0.5528    0.4747    0.2904   0.04552   0.02608   0.01279
    50/299     12.3G   0.05123   0.03642   0.01765    0.1053       141       640    0.3565    0.5548     0.476    0.2919   0.04547   0.02606   0.01275
    51/299     12.3G   0.05114   0.03645   0.01763    0.1052       269       640    0.3552    0.5564    0.4774    0.2926   0.04542   0.02605   0.01271
    52/299     12.3G   0.05114   0.03637   0.01757    0.1051       243       640     0.355    0.5588    0.4784     0.293   0.04537   0.02603   0.01266
    53/299     12.3G   0.05107    0.0363   0.01755    0.1049       181       640    0.3535    0.5605    0.4796    0.2941   0.04533   0.02601   0.01263
    54/299     12.3G   0.05109   0.03643   0.01751     0.105       190       640    0.3544    0.5623    0.4815    0.2951   0.04529     0.026    0.0126
    55/299     12.3G   0.05102   0.03646   0.01744    0.1049       223       640    0.3539     0.565    0.4822    0.2955   0.04525   0.02598   0.01257
    56/299     12.3G     0.051   0.03635   0.01747    0.1048       133       640     0.353    0.5663    0.4833    0.2967   0.04521   0.02597   0.01253
    57/299     12.3G   0.05093   0.03641   0.01738    0.1047       195       640     0.352    0.5677    0.4847    0.2975   0.04516   0.02595    0.0125
    58/299     12.3G   0.05091   0.03629   0.01738    0.1046       135       640    0.3505     0.567    0.4855    0.2986   0.04512   0.02594   0.01247
    59/299     12.3G   0.05081   0.03628   0.01729    0.1044       196       640    0.3497    0.5688    0.4867    0.2992   0.04508   0.02592   0.01244
    60/299     12.3G   0.05083   0.03639   0.01737    0.1046       217       640    0.3502    0.5702    0.4873       0.3   0.04503   0.02591    0.0124
    61/299     12.3G    0.0508    0.0364   0.01727    0.1045       214       640      0.35    0.5715    0.4881    0.3006   0.04499    0.0259   0.01237
    62/299     12.3G   0.05076   0.03623   0.01722    0.1042       168       640    0.3497    0.5717    0.4891    0.3009   0.04495   0.02589   0.01235
    63/299     12.3G   0.05073   0.03622   0.01726    0.1042       197       640    0.3497    0.5737    0.4901    0.3015   0.04492   0.02588   0.01234
    64/299     12.3G   0.05072    0.0362   0.01719    0.1041       247       640    0.3496    0.5751    0.4913    0.3021   0.04489   0.02588   0.01231
    65/299     12.3G   0.05065   0.03618   0.01715     0.104       242       640    0.3501    0.5756    0.4912     0.302   0.04485   0.02587   0.01229
    66/299     12.3G   0.05062   0.03632   0.01708     0.104       146       640    0.3497    0.5771    0.4921    0.3025   0.04482   0.02586   0.01226
    67/299     12.3G   0.05069   0.03623   0.01715    0.1041       261       640    0.3496    0.5774    0.4925    0.3033   0.04479   0.02585   0.01224
    68/299     12.3G   0.05063   0.03617    0.0171    0.1039       192       640    0.3495     0.578    0.4931    0.3039   0.04477   0.02584   0.01221
    69/299     12.3G   0.05058   0.03624   0.01704    0.1039       218       640    0.3503    0.5802    0.4933    0.3042   0.04474   0.02583   0.01218
    70/299     12.3G   0.05057    0.0362   0.01702    0.1038       130       640    0.3502     0.581    0.4939     0.305    0.0447   0.02582   0.01216
    71/299     12.3G    0.0505   0.03616   0.01703    0.1037       196       640    0.3507    0.5809    0.4948    0.3059   0.04467    0.0258   0.01215
    72/299     12.3G   0.05055   0.03607   0.01703    0.1036       197       640    0.3488    0.5817    0.4952    0.3063   0.04464    0.0258   0.01212
    73/299     12.3G    0.0504    0.0361   0.01691    0.1034       201       640    0.3492    0.5831    0.4958     0.307   0.04461   0.02579   0.01211
    74/299     12.3G   0.05039   0.03614   0.01692    0.1034       198       640    0.3493    0.5842    0.4965    0.3077   0.04459   0.02578   0.01209
    75/299     12.3G   0.05041   0.03613   0.01691    0.1035       137       640    0.3476    0.5846    0.4965     0.308   0.04458   0.02577   0.01208
    76/299     12.3G   0.05032   0.03608   0.01686    0.1033       165       640    0.3477    0.5839    0.4964    0.3083   0.04455   0.02577   0.01206
    77/299     12.3G   0.05031   0.03604   0.01689    0.1032       202       640    0.3492    0.5863    0.4972    0.3088   0.04452   0.02577   0.01203
    78/299     12.3G   0.05029   0.03606   0.01683    0.1032       159       640    0.3495    0.5856    0.4972    0.3089   0.04449   0.02576   0.01202
    79/299     12.3G    0.0503   0.03602   0.01686    0.1032       256       640    0.3505    0.5867    0.4985    0.3095   0.04447   0.02576   0.01201
    80/299     12.3G   0.05025   0.03611    0.0168    0.1032       240       640    0.3509     0.587    0.4987    0.3095   0.04445   0.02575   0.01199
    81/299     12.3G   0.05027   0.03613   0.01678    0.1032       191       640    0.3513    0.5878    0.4997    0.3101   0.04442   0.02573   0.01197
    82/299     12.3G   0.05021   0.03597   0.01678     0.103       284       640    0.3502    0.5882    0.4996    0.3101    0.0444   0.02573   0.01196
    83/299     12.3G   0.05009   0.03595   0.01673    0.1028       146       640     0.349    0.5888    0.4999    0.3104   0.04438   0.02572   0.01195
    84/299     12.3G   0.05009   0.03599   0.01673    0.1028       156       640    0.3499    0.5879    0.4998    0.3104   0.04437   0.02571   0.01195
    85/299     12.3G   0.05011   0.03598   0.01666    0.1027       175       640    0.3489    0.5887    0.5002    0.3105   0.04435   0.02571   0.01194
    86/299     12.3G   0.05008   0.03605   0.01663    0.1028       237       640    0.3482    0.5892    0.5005     0.311   0.04433   0.02571   0.01191
    87/299     12.3G   0.05006   0.03598   0.01658    0.1026       228       640    0.3473    0.5917    0.5012    0.3112   0.04431   0.02571   0.01189
    88/299     12.3G   0.05005   0.03591    0.0166    0.1026       179       640    0.3478    0.5928    0.5023    0.3117   0.04429    0.0257   0.01188
    89/299     12.3G   0.04998    0.0359   0.01657    0.1025       195       640    0.3468    0.5924    0.5024    0.3125   0.04427   0.02569   0.01186
    90/299     12.3G   0.04996   0.03582   0.01658    0.1024       183       640    0.3471     0.592    0.5031     0.313   0.04425   0.02568   0.01182
    91/299     12.3G   0.04993    0.0359   0.01656    0.1024       210       640    0.3479    0.5935    0.5033     0.313   0.04423   0.02567    0.0118
    92/299     12.3G   0.04992   0.03596   0.01658    0.1025       223       640    0.3484    0.5943    0.5041    0.3135   0.04421   0.02568   0.01178
    93/299     12.3G   0.04991   0.03591   0.01648    0.1023       218       640    0.3473    0.5934    0.5045    0.3139   0.04419   0.02567   0.01178
    94/299     12.3G   0.04989   0.03594   0.01647    0.1023       254       640    0.3476    0.5932     0.505    0.3142   0.04417   0.02567   0.01177
    95/299     12.3G   0.04981   0.03584   0.01643    0.1021       228       640    0.3475    0.5944     0.505    0.3142   0.04416   0.02566   0.01177
    96/299     12.3G    0.0498   0.03584   0.01644    0.1021       125       640    0.3471    0.5948    0.5047    0.3144   0.04415   0.02566   0.01177
    97/299     12.3G   0.04971   0.03587   0.01639     0.102       166       640    0.3464    0.5947    0.5047    0.3149   0.04414   0.02566   0.01176
    98/299     12.3G   0.04979   0.03577   0.01641     0.102       155       640    0.3464    0.5941     0.505    0.3151   0.04413   0.02565   0.01174
    99/299     12.3G   0.04979   0.03584   0.01637     0.102       165       640    0.3464    0.5946    0.5057    0.3155   0.04413   0.02564   0.01174
   100/299     12.3G   0.04971   0.03567   0.01636    0.1017       191       640    0.3458    0.5955     0.506    0.3155   0.04412   0.02564   0.01172
   101/299     12.3G   0.04968   0.03588   0.01632    0.1019       201       640    0.3464    0.5976    0.5068    0.3159    0.0441   0.02563    0.0117
   102/299     12.3G   0.04965   0.03589   0.01634    0.1019       248       640    0.3469    0.5988    0.5071    0.3165   0.04408   0.02562   0.01169
   103/299     12.3G   0.04967   0.03587   0.01623    0.1018       145       640    0.3461    0.5979    0.5073    0.3166   0.04407   0.02561   0.01168
   104/299     12.3G   0.04958   0.03581   0.01626    0.1017       210       640    0.3461    0.5993    0.5076    0.3167   0.04405    0.0256   0.01166
   105/299     12.3G    0.0496   0.03582   0.01622    0.1016       208       640    0.3468    0.5998    0.5082    0.3169   0.04404    0.0256   0.01165
   106/299     12.3G   0.04955   0.03576   0.01616    0.1015       174       640    0.3464    0.5996    0.5084    0.3178   0.04402   0.02559   0.01164
   107/299     12.3G   0.04947    0.0357   0.01623    0.1014       206       640    0.3467    0.6003    0.5089     0.318   0.04401   0.02559   0.01163
   108/299     12.3G   0.04953   0.03576    0.0162    0.1015       280       640    0.3458    0.6011    0.5089    0.3181   0.04399   0.02558   0.01162
   109/299     12.3G   0.04949   0.03569   0.01618    0.1014       115       640    0.3461    0.6018    0.5098    0.3188   0.04397   0.02557    0.0116
   110/299     12.3G   0.04952   0.03582   0.01617    0.1015       189       640    0.3465    0.6025    0.5099    0.3188   0.04395   0.02557   0.01159
   111/299     12.3G   0.04941   0.03572    0.0161    0.1012       234       640    0.3465     0.602    0.5096    0.3191   0.04393   0.02556   0.01158
   112/299     12.3G   0.04938   0.03563   0.01609    0.1011       143       640    0.3477    0.6021    0.5101    0.3197   0.04392   0.02555   0.01156
   113/299     12.3G   0.04937   0.03575   0.01607    0.1012       161       640    0.3485    0.6034    0.5107    0.3201   0.04392   0.02554   0.01155
   114/299     12.3G   0.04936   0.03572   0.01606    0.1011       232       640    0.3474    0.6026    0.5111    0.3206    0.0439   0.02553   0.01154
   115/299     12.3G   0.04935   0.03575   0.01607    0.1012       146       640     0.347     0.603    0.5117    0.3214   0.04389   0.02553   0.01153
   116/299     12.3G   0.04932   0.03564   0.01599     0.101       178       640    0.3461    0.6029    0.5114    0.3212   0.04388   0.02552   0.01151
   117/299     12.3G   0.04931   0.03567   0.01599     0.101       234       640     0.346    0.6039    0.5121    0.3211   0.04387   0.02552    0.0115
   118/299     12.3G   0.04922   0.03562   0.01595    0.1008       178       640    0.3461    0.6042    0.5126    0.3217   0.04386   0.02552   0.01149
   119/299     12.3G   0.04919   0.03553   0.01594    0.1007       181       640    0.3451    0.6056     0.513     0.322   0.04384   0.02551   0.01147
   120/299     12.3G   0.04916   0.03556   0.01587    0.1006       187       640    0.3458    0.6067     0.514    0.3224   0.04383   0.02551   0.01146
   121/299     12.3G   0.04916   0.03561   0.01588    0.1006       151       640    0.3458    0.6076    0.5148    0.3228   0.04382   0.02551   0.01145
   122/299     12.3G    0.0492   0.03564   0.01588    0.1007       194       640    0.3445    0.6075    0.5148    0.3227   0.04381   0.02551   0.01144
   123/299     12.3G   0.04908   0.03549    0.0159    0.1005       180       640    0.3448    0.6086    0.5152    0.3234    0.0438   0.02551   0.01143
   124/299     12.3G   0.04909   0.03548   0.01585    0.1004       269       640    0.3454    0.6092    0.5155    0.3237   0.04379   0.02551   0.01142
   125/299     12.3G   0.04908   0.03549   0.01579    0.1004       139       640    0.3457    0.6097    0.5166    0.3241   0.04377   0.02551   0.01141
   126/299     12.3G   0.04902   0.03554    0.0158    0.1004       168       640    0.3454    0.6099    0.5167    0.3246   0.04376    0.0255   0.01139
   127/299     12.3G   0.04905   0.03546   0.01576    0.1003       184       640    0.3458      0.61    0.5168    0.3244   0.04375   0.02549   0.01138
   128/299     12.3G   0.04895   0.03554   0.01576    0.1003       171       640    0.3469    0.6098     0.517    0.3253   0.04373   0.02547   0.01137
   129/299     12.3G   0.04899   0.03546    0.0157    0.1001       257       640    0.3475    0.6097    0.5172    0.3255   0.04371   0.02546   0.01136
   130/299     12.3G   0.04892   0.03558   0.01573    0.1002       243       640    0.3486    0.6107    0.5182    0.3261    0.0437   0.02546   0.01134
   131/299     12.3G   0.04896   0.03551   0.01572    0.1002       172       640    0.3485    0.6102    0.5186    0.3257   0.04368   0.02545   0.01132
   132/299     12.3G    0.0489   0.03559   0.01565    0.1001       260       640    0.3495    0.6108     0.519     0.326   0.04367   0.02544   0.01131
   133/299     12.3G   0.04887   0.03544   0.01565   0.09996       134       640     0.348    0.6097    0.5195    0.3266   0.04367   0.02543   0.01128
   134/299     12.3G   0.04883   0.03546   0.01559   0.09988       201       640    0.3489    0.6105    0.5202    0.3271   0.04365   0.02542   0.01127
   135/299     12.3G   0.04878   0.03542   0.01561   0.09981       183       640    0.3494     0.611    0.5202    0.3278   0.04364   0.02541   0.01126
   136/299     12.3G   0.04884   0.03547   0.01556   0.09988       164       640     0.349    0.6108    0.5208    0.3284   0.04362   0.02541   0.01125
